Uberstrain,Name,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Simple Disease,Comment,Bio Project ID,Project ID,Disease,Sample ID,Secondary Sample ID,Date Entered,Release Date,Barcode,Status,Coverage,N50,Length,Species,Contig Number(>=200 bp),Low Quality Bases,Assembly barcode,Version
ESC_QA1782AA,PapAN-14-3,SRR11015013;ILLUMINA;Paired;;SRX7670709,Wild Animal,Primate,Papio papio; stool,2016,,,,Africa,Gambia,Banjul,,Serekunda,,,,Quadram Institute Biosciences,Escherichia coli,,,,,,,,PRJNA604701,SRP247121,,SAMN13978628,SRS6098446,14/02/2020,04/02/2020,ESC_QA1782AA,Assembled,24,13837,4956941,Escherichia coli / Shigella;96.89%,626,275528,ESC_IB8546AA_AS,4.1
ESC_KA9334AA,PapRG-06-4,traces-0RWnrwT;ILLUMINA;Paired;;NA,Wild Animal,Primate,Papio papio,2016,,,,Africa,Gambia,,,River Gambia,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;100.0%,,,,,,,,,,,,,21/01/2019,26/07/2019,ESC_KA9334AA,Assembled,24,75925,4881224,Escherichia coli / Shigella;100.0%,119,77367,ESC_VA7102AA_AS,4
ESC_KA9319AA,ChlosRG-12-3,traces-0AoZZGz;ILLUMINA;Paired;;NA,Wild Animal,Primate,Chlorocebus sabaeus,2016,,,,Africa,Gambia,,,River Gambia,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;98.42%,,,,,,,,,,,,,21/01/2019,26/07/2019,ESC_KA9319AA,Assembled,24,57893,4825804,Escherichia coli / Shigella;98.42%,224,230330,ESC_VA7083AA_AS,4
ESC_BA8506AA,3-373-03_S1_C1,SRR1186644;ILLUMINA;Paired;484;SRX483943,Human,Human,stool; Homo sapiens,2009,1,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233715,SRP039719,,SAMN02680220,SRS568250,27/08/2015,10/03/2014,ESC_BA8506AA,Assembled,24.02,89338,4825999,Escherichia coli / Shigella;97.48%,127,4965,ESC_CA4341AA_AS,2.2
ESC_IA7848AA,102469,"traces-0QFUYtC;ILLUMINA;Paired;;NA,traces-0GvPQFu;ILLUMINA;Paired;;NA",Human,Human,stool,2009,6,6,,Africa,Gambia,URR,102,,,,,MRCG Basses,Escherichia coli,,,,,,,,,,,,,03/05/2018,05/11/2018,ESC_IA7848AA,Assembled,25,39792,5071960,Escherichia coli / Shigella;98.8%,296,75561,ESC_BB9774AA_AS,4.1
ESC_MA7566AA,TMP021019,ERR3330338;ILLUMINA;Paired;350;ERX3355053,Human,Human,ND,2016,7,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611842,ERS3416031,30/05/2019,20/05/2019,ESC_MA7566AA,Assembled,25,109341,5176823,Escherichia coli / Shigella;94.08%,170,205842,ESC_ZA5958AA_AS,4
ESC_HA7275AA,FDA00012264,SRR6207759;ILLUMINA;Paired;500;SRX3317037,Environment,Plant,Fresh Basil,2017,10,,,Africa,Egypt,Gharbia Governorate,As Santah,,,,,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,PRJNA230969,SRP058582,,SAMN07813267,SRS2622602,25/10/2017,24/10/2017,ESC_HA7275AA,Assembled,26,83438,4898625,Escherichia coli / Shigella;97.91%,260,28316,ESC_QA3408AA_AS,3.61
ESC_OA9970AA,MEZEC6,SRR9071693;ILLUMINA;Paired;;SRX5847732,Livestock,Ovine/Goat (Caprinae),goat; feces,2018,8,,,Africa,South Africa,KwaZulu-Natal,,,,,,Uppsala University,Escherichia coli,,,,,,,,PRJNA541983,SRP197605,,SAMN11621531,SRS4771972,18/11/2019,16/05/2019,ESC_OA9970AA,Assembled,26,86013,4825481,Escherichia coli / Shigella;96.18%,127,198170,ESC_GB7828AA_AS,4.1
ESC_KA2165AA,GF7-4,traces-0wdEHFC;ILLUMINA;Paired;;NA,Poultry,Avian,Domestic Guinea fowl,2016,,,,Africa,Gambia,,,Sibanor,,,,E. Foster-Nyarko,Escherichia coli / Shigella;97.79%,,,,,,,,,,,,,25/09/2018,30/03/2019,ESC_KA2165AA,Assembled,26,47390,4855898,Escherichia coli / Shigella;97.79%,348,168930,ESC_TA9608AA_AS,4
ESC_JA6504AA,EC35,traces-0HqQcHF;ILLUMINA;Paired;;NA,Wild Animal,Primate,Feces,2018,,,,Africa,Uganda,,,,,,,University of Copenhagen,Escherichia coli,,,,,,,,,,,,,17/07/2018,19/01/2019,ESC_JA6504AA,Assembled,27,40820,5106219,Escherichia coli / Shigella;99.57%,255,204776,ESC_CB0038AA_AS,4.1
ESC_KA9313AA,ChlosBP-25-1,traces-0SDlBvL;ILLUMINA;Paired;;NA,Wild Animal,Primate,Chlorocebus sabaeus,2016,,,,Africa,Gambia,,,Bijilo Park,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;94.43%,,,,,,,,,,,,,21/01/2019,26/07/2019,ESC_KA9313AA,Assembled,27,54938,5302686,Escherichia coli / Shigella;94.43%,204,119931,ESC_VA7075AA_AS,4
ESC_KA9322AA,ChlosAN-13-1,traces-0kBXqej;ILLUMINA;Paired;;NA,Wild Animal,Primate,Chlorocebus sabaeus,2016,,,,Africa,Gambia,,,Abuko Nature ,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;98.44%,,,,,,,,,,,,,21/01/2019,26/07/2019,ESC_KA9322AA,Assembled,27,69371,5182287,Escherichia coli / Shigella;98.44%,221,188297,ESC_VA7090AA_AS,4
ESC_CA3805AA,AA065,ERR1010254;ILLUMINA;Paired;207;ERX1089278,Human,Human,Hu Child,2009,,,,Africa,Mali,,,,,,,STATENS SERUM INSTITUT,Escherichia coli,,O1:H15,,,,,,PRJEB10700,ERP011986,,SAMEA3529341,ERS836490,04/11/2015,03/11/2015,ESC_CA3805AA,Assembled,27.61,92519,5091388,Escherichia coli / Shigella;96.7%,165,12127,ESC_FA6828AA_AS,2.2
ESC_GA8206AA,DRC_BKV_07,ERR2027618;ILLUMINA;Paired;900;ERX2086770,Human,Human,homo sapiens; Homo sapiens,2014,,,,Africa,Democratic Republic of the Congo,,,,,,,Institut de recherche experimentale et clinique - IREC,Escherichia coli,,,,,,,,PRJEB21637,ERP023909,,SAMEA104153802,ERS1812820,11/07/2017,08/07/2017,ESC_GA8206AA,Assembled,28,131623,5169291,Escherichia coli / Shigella;97.26%,138,11396,ESC_OA4216AA_AS,3.61
ESC_GA8207AA,DRC_BKV_06,ERR2027617;ILLUMINA;Paired;900;ERX2086769,Human,Human,homo sapiens; Homo sapiens,2014,,,,Africa,Democratic Republic of the Congo,,,,,,,Institut de recherche experimentale et clinique - IREC,Escherichia coli,,,,,,,,PRJEB21637,ERP023909,,SAMEA104153801,ERS1812819,11/07/2017,08/07/2017,ESC_GA8207AA,Assembled,28,91758,5159364,Escherichia coli / Shigella;97.48%,146,15935,ESC_OA4215AA_AS,3.61
ESC_MA8035AA,PLQ000675,ERR3329147;ILLUMINA;Paired;350;ERX3353862,Food,Dairy,goat,2016,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611365,ERS3415554,30/05/2019,20/05/2019,ESC_MA8035AA,Assembled,28,201336,5041683,Escherichia coli / Shigella;98.03%,123,40572,ESC_ZA5406AA_AS,4
ESC_PA7742AA,rep_PapRG-03-3,traces-0VFHCIz;ILLUMINA;Paired;;NA,Wild Animal,Primate,Papio papio,2017,,,,Africa,Gambia,,,River Gambia,,,,Professor Mark Pallen,Escherichia coli,,,,,,,,,,,,,09/01/2020,09/01/2020,ESC_PA7742AA,Assembled,28,28834,4736318,Escherichia coli / Shigella;99.29%,309,121633,ESC_HB9824AA_AS,4.1
ESC_KA2021AA,ChlosBP-21-3,traces-0TCfqec;ILLUMINA;Paired;;NA,Wild Animal,Primate,Chlorocebus sabaeus,2017,6,12,,Africa,Gambia,Western,,Bijilo Forest Park,,,,E. Foster-Nyarko,Escherichia coli / Shigella;100.0%,,,,,,,,,,,,,24/09/2018,29/03/2019,ESC_KA2021AA,Assembled,28,80433,4701160,Escherichia coli / Shigella;100.0%,166,85087,ESC_TA9041AA_AS,4
ESC_KA1879AA,Chicken4_,traces-0YBIrNF;ILLUMINA;Paired;;NA,Poultry,Avian,,2016,,,,Africa,Gambia,,,Sibanor,,,,"Prof. Mark Pallen, Quadram Institute Bioscience",Escherichia coli / Shigella;97.4%,,,,,,,,,,,,,21/09/2018,26/03/2019,ESC_KA1879AA,Assembled,28,41471,5137484,Escherichia coli / Shigella;97.4%,651,231164,ESC_TA8588AA_AS,4
ESC_QA1791AA,ChlosBP-25-5,SRR11015022;ILLUMINA;Paired;;SRX7670700,Wild Animal,Primate,Chlorocebus sabaeus; stool,2016,,,,Africa,Gambia,Banjul,,Serekunda,,,,Quadram Institute Biosciences,Escherichia coli,,,,,,,,PRJNA604701,SRP247121,,SAMN13978619,SRS6098435,14/02/2020,04/02/2020,ESC_QA1791AA,Assembled,29,24762,5286491,Escherichia coli / Shigella;99.16%,425,185435,ESC_IB8537AA_AS,4.1
ESC_KA9328AA,PapRG-03-3,traces-0JkWktU;ILLUMINA;Paired;;NA,Wild Animal,Primate,Papio papio,2016,,,,Africa,Gambia,,,River Gambia,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;100.0%,,,,,,,,,,,,,21/01/2019,26/07/2019,ESC_KA9328AA,Assembled,29,132258,4738553,Escherichia coli / Shigella;100.0%,86,71486,ESC_VA7096AA_AS,4
ESC_KA2153AA,GF2-6,traces-0nwSPAc;ILLUMINA;Paired;;NA,Poultry,Avian,Domestic Guinea fowl,2016,,,,Africa,Gambia,,,Sibanor,,,,E. Foster-Nyarko,Escherichia coli / Shigella;97.79%,,,,,,,,,,,,,25/09/2018,30/03/2019,ESC_KA2153AA,Assembled,29,59299,5063611,Escherichia coli / Shigella;97.79%,308,131436,ESC_TA9596AA_AS,4
ESC_KA2170AA,GF9-4,traces-0FNpDuf;ILLUMINA;Paired;;NA,Poultry,Avian,Domestic Guinea fowl,2016,,,,Africa,Gambia,,,Sibanor,,,,E. Foster-Nyarko,Escherichia coli / Shigella;98.09%,,,,,,,,,,,,,25/09/2018,30/03/2019,ESC_KA2170AA,Assembled,29,65696,4857060,Escherichia coli / Shigella;98.09%,283,132390,ESC_TA9613AA_AS,4
ESC_KA2023AA,G1721_4,traces-0wndtnP;ILLUMINA;Paired;;NA,,Primate,Chlorocebus sabaeus,2017,6,12,,Africa,Gambia,Western,,Bijilo Forest Park,,,,E. Foster-Nyarko,Escherichia coli / Shigella;99.6%,,,,,,,,,,,,,24/09/2018,29/03/2019,ESC_KA2023AA,Assembled,29,40464,4671157,Escherichia coli / Shigella;99.6%,269,106675,ESC_TA9043AA_AS,4
