date,area,confirm,type,country,GSS_CD
29/02/2020,City and County of Swansea,0,UTLA,Wales,W06000011
29/02/2020,City of Cardiff,0,UTLA,Wales,W06000015
29/02/2020,Conwy,0,UTLA,Wales,W06000003
29/02/2020,Denbighshire,0,UTLA,Wales,W06000004
29/02/2020,Flintshire,0,UTLA,Wales,W06000005
29/02/2020,Gwynedd,0,UTLA,Wales,W06000002
29/02/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
29/02/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
29/02/2020,Monmouthshire,0,UTLA,Wales,W06000021
29/02/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
29/02/2020,Newport,0,UTLA,Wales,W06000022
29/02/2020,Pembrokeshire,0,UTLA,Wales,W06000009
29/02/2020,Powys,0,UTLA,Wales,W06000023
29/02/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
29/02/2020,Torfaen County,0,UTLA,Wales,W06000020
29/02/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
29/02/2020,Wrexham,0,UTLA,Wales,W06000006
01/03/2020,Northern Ireland,1,Country,Northern Ireland,N92
01/03/2020,Scotland,0,Country,Scotland,S92
01/03/2020,Wales,1,Country,Wales,W92
01/03/2020,Ayrshire and Arran,0,Health board,Scotland,S08000015
01/03/2020,Borders,0,Health board,Scotland,S08000016
01/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
01/03/2020,Fife,0,Health board,Scotland,S08000029
01/03/2020,Forth Valley,0,Health board,Scotland,S08000019
01/03/2020,Grampian,0,Health board,Scotland,S08000020
01/03/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
01/03/2020,Highland,0,Health board,Scotland,S08000022
01/03/2020,Lanarkshire,0,Health board,Scotland,S08000032
01/03/2020,Lothian,0,Health board,Scotland,S08000024
01/03/2020,Shetland,0,Health board,Scotland,S08000026
01/03/2020,Tayside,0,Health board,Scotland,S08000030
01/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
01/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
01/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
01/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
01/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
01/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
01/03/2020,Powys,NA,Health board,Wales,W11000024
01/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
01/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
01/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
01/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
01/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
01/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
01/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
01/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
01/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
01/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
01/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
01/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
01/03/2020,Bridgend,0,UTLA,Wales,W06000013
01/03/2020,Caerphilly,0,UTLA,Wales,W06000018
01/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
01/03/2020,Ceredigion,0,UTLA,Wales,W06000008
01/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
01/03/2020,City of Cardiff,0,UTLA,Wales,W06000015
01/03/2020,Conwy,0,UTLA,Wales,W06000003
01/03/2020,Denbighshire,0,UTLA,Wales,W06000004
01/03/2020,Flintshire,0,UTLA,Wales,W06000005
01/03/2020,Gwynedd,0,UTLA,Wales,W06000002
01/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
01/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
01/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
01/03/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
01/03/2020,Newport,0,UTLA,Wales,W06000022
01/03/2020,Pembrokeshire,0,UTLA,Wales,W06000009
01/03/2020,Powys,0,UTLA,Wales,W06000023
01/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
01/03/2020,Torfaen County,0,UTLA,Wales,W06000020
01/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
01/03/2020,Wrexham,0,UTLA,Wales,W06000006
02/03/2020,Northern Ireland,1,Country,Northern Ireland,N92
02/03/2020,Scotland,1,Country,Scotland,S92
02/03/2020,Wales,1,Country,Wales,W92
02/03/2020,Ayrshire and Arran,0,Health board,Scotland,S08000015
02/03/2020,Borders,0,Health board,Scotland,S08000016
02/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
02/03/2020,Fife,0,Health board,Scotland,S08000029
02/03/2020,Forth Valley,0,Health board,Scotland,S08000019
02/03/2020,Grampian,0,Health board,Scotland,S08000020
02/03/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
02/03/2020,Highland,0,Health board,Scotland,S08000022
02/03/2020,Lanarkshire,0,Health board,Scotland,S08000032
02/03/2020,Lothian,0,Health board,Scotland,S08000024
02/03/2020,Shetland,0,Health board,Scotland,S08000026
02/03/2020,Tayside,1,Health board,Scotland,S08000030
02/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
02/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
02/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
02/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
02/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
02/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
02/03/2020,Powys,NA,Health board,Wales,W11000024
02/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
02/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
02/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
02/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
02/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
02/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
02/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
02/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
02/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
02/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
02/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
02/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
02/03/2020,Bridgend,0,UTLA,Wales,W06000013
02/03/2020,Caerphilly,0,UTLA,Wales,W06000018
02/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
02/03/2020,Ceredigion,0,UTLA,Wales,W06000008
02/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
02/03/2020,City of Cardiff,0,UTLA,Wales,W06000015
02/03/2020,Conwy,0,UTLA,Wales,W06000003
02/03/2020,Denbighshire,0,UTLA,Wales,W06000004
02/03/2020,Flintshire,0,UTLA,Wales,W06000005
02/03/2020,Gwynedd,0,UTLA,Wales,W06000002
02/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
02/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
02/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
02/03/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
02/03/2020,Newport,0,UTLA,Wales,W06000022
02/03/2020,Pembrokeshire,0,UTLA,Wales,W06000009
02/03/2020,Powys,0,UTLA,Wales,W06000023
02/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
02/03/2020,Torfaen County,0,UTLA,Wales,W06000020
02/03/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
02/03/2020,Wrexham,0,UTLA,Wales,W06000006
03/03/2020,Northern Ireland,1,Country,Northern Ireland,N92
03/03/2020,Scotland,1,Country,Scotland,S92
03/03/2020,Wales,1,Country,Wales,W92
03/03/2020,Ayrshire and Arran,0,Health board,Scotland,S08000015
03/03/2020,Borders,0,Health board,Scotland,S08000016
03/03/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
03/03/2020,Fife,0,Health board,Scotland,S08000029
03/03/2020,Forth Valley,0,Health board,Scotland,S08000019
03/03/2020,Grampian,0,Health board,Scotland,S08000020
03/03/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
03/03/2020,Highland,0,Health board,Scotland,S08000022
03/03/2020,Lanarkshire,0,Health board,Scotland,S08000032
03/03/2020,Lothian,0,Health board,Scotland,S08000024
03/03/2020,Shetland,0,Health board,Scotland,S08000026
03/03/2020,Tayside,1,Health board,Scotland,S08000030
03/03/2020,Swansea Bay,NA,Health board,Wales,W11000031
03/03/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
03/03/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
03/03/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
03/03/2020,Cwm Taf,NA,Health board,Wales,W11000030
03/03/2020,Hywel Dda,NA,Health board,Wales,W11000025
03/03/2020,Powys,NA,Health board,Wales,W11000024
03/03/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
03/03/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
03/03/2020,Belfast,NA,LGD,Northern Ireland,N09000003
03/03/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
03/03/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
03/03/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
03/03/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
03/03/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
03/03/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
03/03/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
03/03/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
03/03/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
03/03/2020,Bridgend,0,UTLA,Wales,W06000013
03/03/2020,Caerphilly,0,UTLA,Wales,W06000018
03/03/2020,Carmarthenshire,0,UTLA,Wales,W06000010
03/03/2020,Ceredigion,0,UTLA,Wales,W06000008
03/03/2020,City and County of Swansea,0,UTLA,Wales,W06000011
03/03/2020,City of Cardiff,0,UTLA,Wales,W06000015
03/03/2020,Conwy,0,UTLA,Wales,W06000003
03/03/2020,Denbighshire,0,UTLA,Wales,W06000004
03/03/2020,Flintshire,0,UTLA,Wales,W06000005
03/03/2020,Gwynedd,0,UTLA,Wales,W06000002
03/03/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
03/03/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
03/03/2020,Monmouthshire,0,UTLA,Wales,W06000021
03/03/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
03/03/2020,Newport,0,UTLA,Wales,W06000022
03/03/2020,Pembrokeshire,0,UTLA,Wales,W06000009
03/03/2020,Powys,0,UTLA,Wales,W06000023
03/03/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
